SMILES,PCE (%)
C=1C=C(C=CC1N(C2=CC=C(C=C2)CC)C3=CC=C4C5=CC=C(C=C5C6(C4=C3)C7=CC(=CC=C7C8=CC=C(C=C86)N(C9=CC=C(C=C9)CC)C%10=CC=C(C=C%10)CC)N(C%11=CC=C(C=C%11)CC)C%12=CC=C(C=C%12)CC)N(C%13=CC=C(C=C%13)CC)C%14=CC=C(C=C%14)CC)CC,15.75
C(CCCCC)N1C=2C=CC(=CC2C=2C1=C1C(=C3C=4C=C(C=CC4N(C23)CCCCCC)C2=CC3=C(S2)C=2SC(=CC2C3(CCCCCC)CCCCCC)C=C(C#N)C#N)N(C=3C=CC(=CC31)C3=CC1=C(S3)C=3SC(=CC3C1(CCCCCC)CCCCCC)C=C(C#N)C#N)CCCCCC)C1=CC3=C(S1)C=1SC(=CC1C3(CCCCCC)CCCCCC)C=C(C#N)C#N,14.87
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C4C5=CC=C(C=C5N(C6=CC=C(C=C6)N(C7=CC=C(C=C7)N8C9=CC(=CC=C9C%10=CC=C(C=C%108)N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C%15=CC=C(C=C%15)N%16C%17=CC(=CC=C%17C%18=CC=C(C=C%18%16)N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)N(C%21=CC=C(OC)C=C%21)C%22=CC=C(OC)C=C%22)C4=C3)N(C%23=CC=C(OC)C=C%23)C%24=CC=C(OC)C=C%24)C,13.9
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C=3C=CC(=CC3)C=4C=CC5=CC(=CC=C5C4)C6=CC=C(C=C6)N(C7=CC=C(OC)C=C7)C8CCC(OC)CC8)C,13.0
CSc%13ccc(N(c1ccc(SC)cc1)c%12ccc(c8c(C)c(c4ccc(N(c2ccc(SC)cc2)c3ccc(SC)cc3)cc4)c(c7ccc(N(c5ccc(SC)cc5)c6cccc(SC)c6)cc7)c(C)c8c%11ccc(N(c9ccc(SC)cc9)c%10ccc(SC)cc%10)cc%11)cc%12)cc%13,16.6
O1C=2C=C(C=CC2N(C3=CC=C(OC)C=C3)C=4C=CC(=CC14)C5=CC=C(C=C5)N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C8=CC=C(C=C8)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10,17.0
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C=3C=CC(=CC3)C=4SC(=CC4)C=5C=CC6=C(C5)C7C=8C=CC(=CC8C6C=9C=C(C=CC97)C=%10SC(=CC%10)C=%11C=CC(=CC%11)N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=%14SC(=CC%14)C=%15C=CC(=CC%15)N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)C,12.4
C=1C=CC(=CC1)C(=CC=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C)C4=CC=C(C=C4)C)C5=CC=CC=6C=CC=CC65,10.5
C1(=CC=C(C=C1)N(C1=CC2=C(C=C1)C1=CC=C(C=C1C21OCCO1)N(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C)C1=CC=C(C=C1)C)C,20.6
C=1C=C(C=CC1C=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C)C4=CC=C(C=C4)C)C=CC5=CC=C(C=C5)N(C6=CC=C(C=C6)C)C7=CC=C(C=C7)C,17.6
